text,class,person,location,time
We will meet Neha at Warehouse 5 at 9pm.,suspicious,Neha,Warehouse 5,9pm
Raj has submitted the daily report.,benign,Raj,,
All units are in position at Checkpoint Alpha.,benign,,Checkpoint Alpha,
Good morning commander.,benign,,,
Arjun has submitted the daily report.,benign,Arjun,,
Prepare the package for Rahul.,suspicious,Rahul,,
Neutralize the target before 0600 hours.,critical,,,0600 hours
Kabir will lead the strike at Checkpoint Alpha.,critical,Kabir,Checkpoint Alpha,
Contact Arjun once you're at Pakistan Border.,suspicious,Arjun,Pakistan Border,
Contact Rao once you're at Checkpoint Alpha.,suspicious,Rao,Checkpoint Alpha,
Explosives are hidden at HQ.,critical,,HQ,
The system is operating normally at Extraction Point.,benign,,Extraction Point,
Drone surveillance needed over HQ at 5pm.,critical,,HQ,5pm
Drone surveillance needed over HQ at 10am.,critical,,HQ,10am
Move the team to Warehouse 5 before 3pm.,suspicious,,Warehouse 5,3pm
Neutralize the target before dawn.,critical,,,dawn
The system is operating normally at Mumbai.,benign,,Mumbai,
Good morning commander.,benign,,,
Wait for instructions from Rahul at 2am.,suspicious,Rahul,,2am
Drone surveillance needed over Pakistan Border at 2am.,critical,,Pakistan Border,2am
Contact Kiran once you're at Bravo Zone.,suspicious,Kiran,Bravo Zone,
Intercept the convoy near Delhi at 12 noon.,critical,,Delhi,12 noon
Contact Neha once you're at Mumbai.,suspicious,Neha,Mumbai,
Deliver the consignment to Sector 9.,suspicious,,Sector 9,
Thank you for the update.,benign,,,
Drone surveillance needed over Jalgaon at midnight.,critical,,Jalgaon,midnight
Contact Neha once you're at Delhi.,suspicious,Neha,Delhi,
Thank you for the update.,benign,,,
Keep watch over Extraction Point during dawn.,suspicious,,Extraction Point,dawn
Wait for instructions from Kiran at 10am.,suspicious,Kiran,,10am
Sector breach reported by Rahul at Mumbai.,critical,Rahul,Mumbai,
Wait for instructions from Neha at 2am.,suspicious,Neha,,2am
Amit will lead the strike at Pakistan Border.,critical,Amit,Pakistan Border,
Rahul has submitted the daily report.,benign,Rahul,,
Mission to eliminate Neha is approved.,critical,Neha,,
Wait for instructions from Rao at 10am.,suspicious,Rao,,10am
Rahul has submitted the daily report.,benign,Rahul,,
Wait for instructions from Neha at 3pm.,suspicious,Neha,,3pm
Prepare the package for Anjali.,suspicious,Anjali,,
Wait for instructions from Sneha at 3pm.,suspicious,Sneha,,3pm
Prepare the package for Raj.,suspicious,Raj,,
Good morning commander.,benign,,,
Drone surveillance needed over Checkpoint Alpha at 12 noon.,critical,,Checkpoint Alpha,12 noon
Mission to eliminate Kabir is approved.,critical,Kabir,,
Keep watch over Bravo Zone during dawn.,suspicious,,Bravo Zone,dawn
Prepare the package for Kabir.,suspicious,Kabir,,
Rao has submitted the daily report.,benign,Rao,,
Commence attack on Extraction Point at 0600 hours.,critical,,Extraction Point,0600 hours
Prepare the package for Amit.,suspicious,Amit,,
Kiran will lead the strike at Delhi.,critical,Kiran,Delhi,
All units are in position at Jalgaon.,benign,,Jalgaon,
Thank you for the update.,benign,,,
Explosives are hidden at Bravo Zone.,critical,,Bravo Zone,
Contact Sneha once you're at Delhi.,suspicious,Sneha,Delhi,
Deliver the consignment to Jalgaon.,suspicious,,Jalgaon,
Wait for instructions from Kabir at 2am.,suspicious,Kabir,,2am
Neutralize the target before 2am.,critical,,,2am
Prepare the package for Kiran.,suspicious,Kiran,,
Wait for instructions from Kabir at 7am.,suspicious,Kabir,,7am
Thank you for the update.,benign,,,
Wait for instructions from Amit at dawn.,suspicious,Amit,,dawn
We will meet Anjali at Sector 9 at 7am.,suspicious,Anjali,Sector 9,7am
Neutralize the target before 7am.,critical,,,7am
Explosives are hidden at Warehouse 5.,critical,,Warehouse 5,
Message received from Raj.,benign,Raj,,
Contact Arjun once you're at Warehouse 5.,suspicious,Arjun,Warehouse 5,
Prepare the package for Kabir.,suspicious,Kabir,,
Move the team to Checkpoint Alpha before 2am.,suspicious,,Checkpoint Alpha,2am
We will meet Kabir at Checkpoint Alpha at 3pm.,suspicious,Kabir,Checkpoint Alpha,3pm
Deliver the consignment to Bravo Zone.,suspicious,,Bravo Zone,
Mission to eliminate Amit is approved.,critical,Amit,,
Deliver the consignment to Warehouse 5.,suspicious,,Warehouse 5,
Intercept the convoy near Jalgaon at 5pm.,critical,,Jalgaon,5pm
Deliver the consignment to HQ.,suspicious,,HQ,
The system is operating normally at Bravo Zone.,benign,,Bravo Zone,
All units are in position at HQ.,benign,,HQ,
Good morning commander.,benign,,,
Good morning commander.,benign,,,
Keep watch over HQ during 10am.,suspicious,,HQ,10am
Message received from Kiran.,benign,Kiran,,
The system is operating normally at Sector 9.,benign,,Sector 9,
All units are in position at Checkpoint Alpha.,benign,,Checkpoint Alpha,
Prepare the package for Amit.,suspicious,Amit,,
Deliver the consignment to HQ.,suspicious,,HQ,
Message received from Arjun.,benign,Arjun,,
Drone surveillance needed over Jalgaon at 0600 hours.,critical,,Jalgaon,0600 hours
We will meet Raj at Bravo Zone at 9pm.,suspicious,Raj,Bravo Zone,9pm
Contact Amit once you're at Pakistan Border.,suspicious,Amit,Pakistan Border,
Mission to eliminate Arjun is approved.,critical,Arjun,,
Explosives are hidden at Pakistan Border.,critical,,Pakistan Border,
All units are in position at Pakistan Border.,benign,,Pakistan Border,
Move the team to HQ before 0600 hours.,suspicious,,HQ,0600 hours
Neutralize the target before 0600 hours.,critical,,,0600 hours
Wait for instructions from Neha at midnight.,suspicious,Neha,,midnight
Keep watch over Pakistan Border during 9pm.,suspicious,,Pakistan Border,9pm
All units are in position at Bravo Zone.,benign,,Bravo Zone,
Commence attack on Extraction Point at 2am.,critical,,Extraction Point,2am
Good morning commander.,benign,,,
Good morning commander.,benign,,,
Prepare the package for Amit.,suspicious,Amit,,
Wait for instructions from Arjun at 7am.,suspicious,Arjun,,7am
Explosives are hidden at Mumbai.,critical,,Mumbai,
Sector breach reported by Rahul at Extraction Point.,critical,Rahul,Extraction Point,
Message received from Rao.,benign,Rao,,
Explosives are hidden at Bravo Zone.,critical,,Bravo Zone,
Deliver the consignment to Bravo Zone.,suspicious,,Bravo Zone,
Contact Amit once you're at Mumbai.,suspicious,Amit,Mumbai,
I will join the meeting at 0600 hours.,benign,,,0600 hours
Good morning commander.,benign,,,
Thank you for the update.,benign,,,
Deliver the consignment to Pakistan Border.,suspicious,,Pakistan Border,
Rao has submitted the daily report.,benign,Rao,,
I will join the meeting at 3pm.,benign,,,3pm
Neutralize the target before midnight.,critical,,,midnight
Explosives are hidden at Delhi.,critical,,Delhi,
Mission to eliminate Anjali is approved.,critical,Anjali,,
Keep watch over Bravo Zone during 3pm.,suspicious,,Bravo Zone,3pm
We will meet Rahul at HQ at 9pm.,suspicious,Rahul,HQ,9pm
Commence attack on Jalgaon at 9pm.,critical,,Jalgaon,9pm
We will meet Rao at Extraction Point at dawn.,suspicious,Rao,Extraction Point,dawn
Good morning commander.,benign,,,
Sector breach reported by Rahul at Bravo Zone.,critical,Rahul,Bravo Zone,
Thank you for the update.,benign,,,
Rahul will lead the strike at Pakistan Border.,critical,Rahul,Pakistan Border,
Contact Amit once you're at Warehouse 5.,suspicious,Amit,Warehouse 5,
Rahul has submitted the daily report.,benign,Rahul,,
Prepare the package for Anjali.,suspicious,Anjali,,
Wait for instructions from Sneha at 0600 hours.,suspicious,Sneha,,0600 hours
Mission to eliminate Kabir is approved.,critical,Kabir,,
I will join the meeting at 3pm.,benign,,,3pm
Arjun has submitted the daily report.,benign,Arjun,,
Deliver the consignment to Jalgaon.,suspicious,,Jalgaon,
Commence attack on Bravo Zone at midnight.,critical,,Bravo Zone,midnight
Deliver the consignment to Pakistan Border.,suspicious,,Pakistan Border,
Message received from Anjali.,benign,Anjali,,
Good morning commander.,benign,,,
Intercept the convoy near Checkpoint Alpha at 0600 hours.,critical,,Checkpoint Alpha,0600 hours
We will meet Anjali at Extraction Point at 12 noon.,suspicious,Anjali,Extraction Point,12 noon
All units are in position at Sector 9.,benign,,Sector 9,
Commence attack on Warehouse 5 at midnight.,critical,,Warehouse 5,midnight
Wait for instructions from Amit at 12 noon.,suspicious,Amit,,12 noon
Prepare the package for Kiran.,suspicious,Kiran,,
Keep watch over Mumbai during 2am.,suspicious,,Mumbai,2am
Sector breach reported by Kabir at Mumbai.,critical,Kabir,Mumbai,
Explosives are hidden at Warehouse 5.,critical,,Warehouse 5,
Sector breach reported by Kabir at Mumbai.,critical,Kabir,Mumbai,
Drone surveillance needed over Bravo Zone at 9pm.,critical,,Bravo Zone,9pm
Move the team to Checkpoint Alpha before 10am.,suspicious,,Checkpoint Alpha,10am
Commence attack on Extraction Point at midnight.,critical,,Extraction Point,midnight
Deliver the consignment to Jalgaon.,suspicious,,Jalgaon,
Anjali will lead the strike at HQ.,critical,Anjali,HQ,
